Corporate Bond Purchase Auction Data,,,,,,,,,,,,,,
Attribution: Bank of England,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Operation date,"Ticker (d)
",ISIN,Reference instrument,Reference yield (%),Settlement date,Total offers received (nominal £mn),Allocation (nominal £mn),Allocation (proceeds £mn),Clearing spread (bps)(a),Clearing yield (%),Clearing price (£)(b),Allocated at clearing spread (%)(c),,
02/04/2009,NRWLN 8 7/8 03/25/26,XS0058957316,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,NWGLN 6 7/8 02/06/23,XS0083567775,UKT 5 03/25,3.998,07/04/2009,2.7,-,-,-,-,-,-,,
02/04/2009,PPL 5 7/8 03/25/27,XS0165510313,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,PRUFIN 6 7/8 01/20/23,XS0083544212,UKT 5 03/25,3.998,07/04/2009,1.3,-,-,-,-,-,-,,
02/04/2009,SGOFP 5 5/8 11/15/24,XS0274270817,UKT 5 03/25,3.998,07/04/2009,5.7,3.80,2.82,485,8.848,71.927,-,,
02/04/2009,SSELN 5 7/8 09/22/22,XS0095371638,UKT 4.75 03/20,3.395,07/04/2009,5.0,-,-,-,-,-,-,,
02/04/2009,SSELN 8 3/8 11/20/28,XS0399111912,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,TSCOLN 5 03/24/23,XS0248392812,UKT 5 03/25,3.998,07/04/2009,5.0,5.00,4.58,184,5.838,91.388,-,,
02/04/2009,UU 5 5/8 12/20/27,XS0159728236,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,VOD 5 5/8 12/04/25,XS0181816652,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,WESWAT 5 3/8 03/10/28,XS0214275785,,,07/04/2009,0.0,-,-,0,-,-,-,,
03/04/2009,AZN 5 3/4 11/13/31,XS0330497149,,,08/04/2009,0.0,-,-,0,-,-,-,,
